Vehicle_Year,Mileage,Condition_Score,Make,Auction_Location,Sold_Price
1998,18454,8.537058053512606,Porsche,Scottsdale,79839.89026756302
2011,22290,3.7887908446763623,Ferrari,Palm Beach,162214.95422338182
1988,6242,5.567581850223983,Porsche,Las Vegas,61213.709251119915
1974,41962,4.611273248833552,Ford,Scottsdale,45860.16624416776
2002,125538,8.695705473727193,Toyota,Scottsdale,71924.72736863597
1967,48556,4.8872667803124585,Chevy,Palm Beach,43080.73390156229
2020,100267,4.474892699537358,Ferrari,Las Vegas,162347.7634976868
1980,82135,7.208413236078737,Chevy,Scottsdale,57828.56618039369
1998,8116,6.421969988752984,Toyota,Scottsdale,70298.24994376492
2017,2484,1.9652215014626147,Ferrari,Las Vegas,158077.70750731305
1978,146244,5.573519257095669,Porsche,Palm Beach,42243.19628547834
1982,102339,7.619305494999229,Ford,Las Vegas,58862.627474996145
1970,111531,9.928672881322207,Toyota,Palm Beach,63490.26440661104
1970,80118,6.662321505732872,Ford,Scottsdale,50299.80752866436
1983,40610,4.33263759797186,Ford,Las Vegas,49102.1879898593
2012,21926,3.0353643982190657,Chevy,Las Vegas,58984.22199109533
1995,68126,8.855472107379882,Toyota,Scottsdale,74964.76053689941
1999,121768,8.331086909021526,Ford,Scottsdale,68978.63454510763
1983,24145,3.1053053870144636,Porsche,Palm Beach,44612.02693507232
1962,90202,2.805688811319161,Ferrari,Scottsdale,126008.24405659581
1981,52019,7.43623099130058,Toyota,Scottsdale,62479.254956502904
2012,99541,3.834568557268835,Chevy,Las Vegas,55218.74278634418
1961,137017,3.75758918525762,Toyota,Palm Beach,25586.245926288102
1983,118425,2.370612223608897,Chevy,Scottsdale,31510.561118044483
2003,19437,3.3757796773884694,Ferrari,Las Vegas,156435.19838694236
1989,78049,4.847568018333846,Porsche,Scottsdale,50932.94009166923
1997,376,7.59554503545174,Ford,Scottsdale,76440.1251772587
1961,51251,4.026772849723748,Toyota,Scottsdale,35508.76424861874
2023,148783,3.9574390553185843,Chevy,Scottsdale,56408.89527659291
2019,143116,3.5642192729719224,Ferrari,Palm Beach,153009.4963648596
1980,52987,5.304553007599387,Ford,Las Vegas,51224.06503799693
1992,81542,2.6257302814718377,Ferrari,Las Vegas,140974.45140735919
1971,49947,5.37067660628913,Porsche,Scottsdale,47358.683031445646
2017,58753,7.3375800057522085,Ford,Las Vegas,79312.60002876104
1981,56722,1.2681145362935995,Ford,Scottsdale,31168.372681467998
2020,27910,1.088014422751857,Ford,Las Vegas,52649.072113759285
2003,77942,1.676106191390583,Chevy,Palm Beach,42086.33095695291
1984,122325,5.820940555553009,Ford,Palm Beach,48872.20277776505
2008,10603,8.69009574866863,Ferrari,Las Vegas,186390.17874334316
1986,84861,1.0439601941822674,Chevy,Scottsdale,29733.700970911334
2018,126539,9.42995174126213,Ford,Scottsdale,83495.85870631065
2022,11690,1.9565066041348222,Ferrari,Scottsdale,159613.5330206741
2001,142058,8.577851752524037,Ferrari,Scottsdale,169183.45876262017
2023,144038,5.345692884846521,Toyota,Palm Beach,63824.6644242326
1987,66724,6.934216485509595,Ferrari,Scottsdale,161498.682427548
2019,140936,5.596146860024642,Porsche,Scottsdale,63387.13430012321
1975,120456,5.293434026614191,Ford,Scottsdale,41921.570133070956
1974,42827,8.514094855279524,Ford,Scottsdale,65287.77427639762
2021,78571,7.802977416110347,Ford,Palm Beach,81657.78708055173
2021,8168,5.350620128707037,Ferrari,Las Vegas,176436.30064353519
2006,117023,2.0047233645645544,Ferrari,Las Vegas,141321.3168228228
2021,138467,2.038626633829673,Ford,Scottsdale,46846.43316914837
2010,11490,8.21385514647168,Chevy,Scottsdale,84920.2757323584
2003,106852,5.764515592127801,Chevy,Las Vegas,59637.377960639
2014,94854,5.334302261974264,Porsche,Palm Beach,64186.11130987132
2011,76069,7.125101572246436,Toyota,Palm Beach,73518.60786123219
2023,146210,8.729574250728342,Porsche,Palm Beach,80526.87125364172
2016,77164,6.659858299719747,Ford,Palm Beach,73582.89149859874
1962,21381,7.865631121118311,Ford,Palm Beach,58190.05560559156
1996,54289,7.887434717052613,Ford,Palm Beach,72008.27358526306
2010,48611,4.206353039136632,Toyota,Palm Beach,61170.665195683156
1966,122215,3.4667487607689615,Ferrari,Palm Beach,128112.24380384482
1980,8705,8.210476604576428,Toyota,Palm Beach,70181.88302288213
1968,100418,4.394609126058191,Porsche,Scottsdale,35931.245630290956
1998,132553,9.130024058704347,Ferrari,Palm Beach,171394.82029352174
1977,19910,1.6272162705710767,Ferrari,Scottsdale,134645.08135285537
1963,41969,1.5239576086780569,Porsche,Las Vegas,24922.888043390285
1984,33055,9.343037440912674,Ferrari,Scottsdale,175409.68720456338
2019,61488,6.8360942276329135,Chevy,Las Vegas,77531.67113816456
1973,10307,4.4163942080349905,Porsche,Scottsdale,47551.27104017495
2009,22131,7.795543733345645,Porsche,Las Vegas,81264.61866672823
2017,80907,7.050941289942771,Chevy,Scottsdale,75664.00644971385
1968,71412,5.780809421376366,Toyota,Scottsdale,45762.84710688183
1985,59866,1.8898600839638622,Toyota,Las Vegas,35962.70041981931
2012,143621,8.309616285634764,Toyota,Palm Beach,73185.9814281738
1961,89933,8.794208716125622,Ferrari,Palm Beach,155477.7435806281
1979,111141,2.549518196973842,Chevy,Palm Beach,31133.49098486921
1987,116285,8.654604867793601,Porsche,Palm Beach,65144.524338968
2006,10450,8.90062579914908,Porsche,Palm Beach,86458.1289957454
2019,100959,5.944857510596644,Porsche,Scottsdale,69128.38755298321
1966,68587,6.905611326004183,Ferrari,Palm Beach,150669.35663002092
2003,148794,4.4401358801304225,Ferrari,Scottsdale,148821.2794006521
2020,123953,3.536124827583394,Toyota,Las Vegas,55285.32413791696
1967,53217,7.497848322564803,Ferrari,Palm Beach,155667.54161282402
2006,101184,8.756876341142274,Toyota,Palm Beach,76665.98170571137
1994,23882,6.886697976601728,Toyota,Palm Beach,69045.28988300863
1973,28554,5.604315495818943,Porsche,Palm Beach,51666.17747909472
1976,68004,2.430322901597544,Ferrari,Scottsdale,133351.21450798772
1995,130036,1.4811284134433635,Toyota,Scottsdale,31902.04206721682
2009,146764,5.011226112220718,Chevy,Scottsdale,54879.73056110359
1999,122358,1.4441460732767915,Chevy,Las Vegas,34484.93036638395
1963,111768,6.124011687165026,Ferrari,Scottsdale,140943.25843582512
1961,124284,4.444562721859942,Porsche,Palm Beach,30294.413609299707
2021,16666,7.814702077137725,Porsche,Las Vegas,87906.91038568862
1965,138362,3.750836471525651,Toyota,Las Vegas,27417.982357628254
2013,38433,6.336844308706889,Ferrari,Palm Beach,174340.92154353444
2001,122029,5.839151695795905,Chevy,Palm Beach,57492.85847897952
1963,89671,1.0424118297001703,Toyota,Palm Beach,17744.95914850085
2013,120363,1.651504584378793,Toyota,Palm Beach,42721.22292189396
1988,132761,3.613313912374185,Ford,Scottsdale,38790.46956187092
2022,25335,8.940115729186886,Ferrari,Las Vegas,193167.07864593444
1977,259,2.323134594098007,Toyota,Palm Beach,40089.772970490034
1985,143317,7.398048974144874,Chevy,Scottsdale,55158.54487072438
2003,104959,9.760299095370586,Ford,Palm Beach,79805.59547685293
1993,147409,8.115107974220397,Chevy,Scottsdale,62334.63987110199
1969,107607,3.1865082551833956,Porsche,Palm Beach,29671.841275916977
2021,139416,9.175287343717734,Ford,Palm Beach,82434.83671858866
1995,14843,1.8379644085755107,Ford,Palm Beach,45205.52204287755
1973,46201,5.2132774768366215,Toyota,Scottsdale,47946.28738418311
1990,121634,8.987877169537724,Porsche,Palm Beach,67775.98584768861
2007,84327,6.771391383311828,Toyota,Scottsdale,68924.25691655914
1974,71226,4.72280108254929,Ferrari,Scottsdale,143491.40541274645
1967,56171,3.635315800634519,Chevy,Las Vegas,36059.47900317259
1973,74863,4.37589464786515,Chevy,Scottsdale,40893.17323932575
1982,143409,5.5804760290835755,Toyota,Scottsdale,44561.480145417874
2019,146821,3.8713953688552665,Chevy,Scottsdale,54174.87684427633
2016,46254,9.720710758740697,Chevy,Scottsdale,91978.1537937035
2021,7116,9.397698877595307,Ferrari,Scottsdale,196776.89438797653
1999,89778,8.836043213928885,Porsche,Las Vegas,74702.41606964442
1980,112156,4.796468519703881,Ford,Palm Beach,42766.742598519406
1975,54338,7.22171592401706,Toyota,Las Vegas,58174.7796200853
2004,58708,9.125463763323681,Toyota,Las Vegas,81756.51881661841
1977,89181,8.653865389110353,Ferrari,Palm Beach,162851.22694555175
2006,51061,4.7289431261818695,Ferrari,Scottsdale,161538.61563090933
2012,27017,2.0114744439003465,Ford,Palm Beach,53355.672219501736
1983,28090,1.6806732745109452,Porsche,Scottsdale,37094.36637255472
1985,62651,6.1935764070313235,Toyota,Palm Beach,57202.78203515662
1984,80911,6.783651416898385,Ferrari,Las Vegas,157827.15708449192
2019,55203,8.648583441373216,Toyota,Scottsdale,87222.61720686608
2019,106222,3.6326351830692793,Chevy,Las Vegas,57040.9759153464
2019,19108,2.5072344149503825,Toyota,Scottsdale,60125.37207475191
2004,32502,4.411052498603795,Porsche,Palm Beach,60805.06249301898
2000,136965,4.182176112690476,Porsche,Palm Beach,47214.380563452374
1988,136743,2.1922205861606927,Toyota,Palm Beach,31286.80293080346
1974,147381,7.050543872618369,Chevy,Palm Beach,47514.61936309184
2004,113650,5.578227466564384,Porsche,Palm Beach,58526.13733282192
1960,91318,7.490104805032897,Ferrari,Las Vegas,148318.7240251645
1984,133396,4.174220081527612,Toyota,Las Vegas,39531.500407638065
1966,120879,3.9313199041993205,Chevy,Scottsdale,30568.6995209966
1968,129814,5.253182677394701,Ferrari,Las Vegas,137284.5133869735
1983,32541,8.896666108556323,Toyota,Scottsdale,72729.23054278162
1960,62468,1.362531760605823,Chevy,Scottsdale,20565.858803029114
2003,92222,8.243495355668248,Ferrari,Las Vegas,173495.27677834124
1967,44860,4.320888513919808,Porsche,Las Vegas,40618.442569599036
1983,23578,8.6915712320963,Toyota,Scottsdale,72600.0561604815
2022,127981,8.219827079522709,Toyota,Las Vegas,79301.03539761354
1970,71954,4.138851226564795,Porsche,Las Vegas,38498.856132823974
2010,94330,7.244888817894544,Ford,Las Vegas,71791.44408947272
1976,85816,2.436694810960961,Ferrari,Palm Beach,131601.8740548048
1967,143352,9.066533969474092,Porsche,Palm Beach,54497.46984737046
1994,98638,4.640419580067185,Toyota,Scottsdale,50338.29790033592
1994,15472,5.100630538196802,Ferrari,Las Vegas,160955.952690984
1992,29896,7.351831459332864,Ferrari,Scottsdale,169769.55729666434
2018,98926,8.387562130343658,Ford,Las Vegas,81045.21065171828
1964,120692,3.1270846899538864,Toyota,Palm Beach,25566.223449769434
2001,93735,6.952151258892959,Chevy,Las Vegas,65887.2562944648
1998,111122,4.527982395002336,Ford,Las Vegas,50527.71197501168
2017,54140,4.318326316035652,Ford,Las Vegas,64677.63158017826
2000,75457,7.210232415465892,Chevy,Palm Beach,68505.46207732946
1987,78456,4.484649467403409,Chevy,Palm Beach,48077.64733701705
1966,16311,4.114976501479669,Ford,Palm Beach,41943.78250739834
1968,105526,8.522995673136183,Ferrari,Scottsdale,156062.37836568092
1967,5942,1.9114851144790572,Porsche,Las Vegas,32463.225572395284
1971,66952,7.083033605471896,Porsche,Palm Beach,54219.968027359486
1993,125837,3.2385285441156215,Ford,Scottsdale,40108.94272057811
1992,46068,1.1394841764357126,Ferrari,Palm Beach,137090.62088217857
2007,17608,2.500878419854228,Chevy,Las Vegas,54243.59209927113
2014,54675,6.459953767982809,Ford,Scottsdale,73832.26883991405
1982,67014,7.382144723373436,Toyota,Palm Beach,61209.32361686718
2021,67155,1.1895200520068805,Ferrari,Palm Beach,149732.1002600344
1983,87797,1.3278289897154814,Toyota,Scottsdale,29359.444948577406
1996,106339,9.122879033586578,Toyota,Scottsdale,72980.49516793288
1994,123206,1.6597523630234785,Ford,Scottsdale,32978.16181511739
2003,5455,9.047639427549141,Ferrari,Scottsdale,186192.6971377457
1999,54220,3.053493223758152,Toyota,Scottsdale,49345.46611879076
1981,38442,7.660160201423915,Ferrari,Palm Beach,164956.60100711958
1986,2357,3.7875992405141083,Porsche,Scottsdale,51702.29620257054
1994,27464,8.728768230482654,Toyota,Scottsdale,77897.44115241326
